"datetime","temp_in_degrees_c","magnitude_in_kohm","battery_in_percent","solar_in_percent"
2021-05-12 09:20:02,15.8,21.39,96,12
2021-05-12 09:20:18,15.8,21.39,96,12
2021-05-12 09:35:36,16.1,21.179,97,11
2021-05-12 10:06:43,17.3,20.513,97,32
2021-05-12 10:22:17,17.7,20.288,98,43
2021-05-12 10:37:51,18.2,20.197,99,38
2021-05-12 10:53:25,18.5,19.904,100,42
2021-05-12 11:08:59,19.5,19.626,100,13
2021-05-12 11:24:33,20.2,19.462,100,38
2021-05-12 11:40:06,19.9,19.403,100,22
2021-05-12 11:55:40,20,19.338,100,36
2021-05-12 12:11:14,19.3,19.655,100,28
2021-05-12 12:26:48,18.8,19.814,100,27
2021-05-12 12:42:22,18,20.184,100,15
2021-05-12 12:57:56,17.7,20.421,100,20
2021-05-12 13:13:30,17.5,20.591,100,12
2021-05-12 13:29:04,17.1,20.786,100,14
2021-05-12 13:44:38,17.1,20.757,100,22
2021-05-12 14:00:12,16.9,20.806,100,13
2021-05-12 14:15:46,17.1,20.747,100,15
2021-05-12 14:31:20,17.5,20.574,100,25
2021-05-12 14:46:54,17.9,20.318,100,23
2021-05-12 15:02:28,18.3,20.133,100,29
2021-05-12 15:18:02,18,20.242,100,11
2021-05-12 15:33:36,18.3,20,100,29
2021-05-12 15:49:09,18.1,20.074,100,17
2021-05-12 16:04:43,18,20.11,100,16
2021-05-12 16:20:17,18.2,19.989,100,23
2021-05-13 12:52:53,21,18.513,100,41
2021-05-13 13:08:27,23.3,18.04,100,45
2021-05-13 13:24:01,26,17.794,100,44
2021-05-13 13:39:34,25.9,17.711,100,37
2021-05-13 13:55:10,22.9,18.339,100,30
2021-05-13 14:10:42,20.6,18.764,100,27
2021-05-13 14:26:16,19.4,19.208,100,20
2021-05-13 14:41:49,18.6,19.488,100,18
2021-05-13 14:57:23,17.8,19.87,100,20
2021-05-13 15:12:58,17.5,20.116,100,21
2021-05-13 15:44:06,17.4,20.135,100,29
2021-05-13 15:59:40,17.8,19.938,100,30
2021-05-13 16:15:14,18.2,19.73,100,29
2021-05-13 16:30:48,18.5,19.54,100,34
2021-05-13 16:46:22,18.3,19.603,100,38
2021-05-13 17:01:56,18.5,19.444,100,38
2021-05-13 17:17:30,18.4,19.421,100,26
2021-05-13 17:33:04,17.8,19.774,100,23
2021-05-13 17:48:38,17.2,19.922,100,22
2021-05-13 18:04:12,17.4,19.805,100,26
2021-05-13 18:19:46,17.6,19.733,100,25
2021-05-13 18:35:20,17.7,19.57,100,23
2021-05-13 18:50:54,17.6,19.582,100,19
2021-05-13 19:06:28,17.4,19.708,100,14
2021-05-13 19:22:03,17,19.915,100,5
2021-05-13 19:37:36,16.5,20.069,100,48
2021-05-13 19:53:10,16.1,20.256,100,38
2021-05-13 20:08:45,15.6,20.464,100,24
2021-05-13 20:24:18,15,20.724,100,7
2021-05-13 20:39:52,14.6,20.886,100,57
2021-05-13 20:55:27,14.1,21.196,100,25
2021-05-13 21:11:01,13.8,21.399,100,10
2021-05-13 21:26:35,13.2,21.564,100,2
2021-05-13 21:42:09,12.8,21.737,100,0
