tree_id,tt_id
mof_cst_00001,52030125
mof_cst_00002,52030105
mof_cst_00003,52030123
mof_cst_00004,52030118
mof_cst_00005,52030127
mof_cst_00006,52030154
mof_cst_00007,52030164
mof_cst_00008,52030134
mof_cst_00009,52030108
mof_cst_00010,52030149
mof_cst_00011,52030155
mof_cst_00012,52030157
mof_cst_00013,52030093
mof_cst_00014,52030111
mof_cst_00015,52030109
mof_cst_00016,52030139
mof_cst_00017,52030104
mof_cst_00018,52030117
mof_cst_00019,52030102
mof_cst_00020,52030103
mof_cst_00021,52030133
mof_cst_00022,52030150
mof_cst_00023,52030115
mof_cst_00024,52030130
mof_cst_00025,52030119
mof_cst_00026,52030143
mof_cst_00027,52030163
mof_cst_00028,52030129
mof_cst_00029,52030147
mof_cst_00030,52030095
mof_cst_00031,52030092
mof_cst_00032,52030116
mof_cst_00033,52030120
mof_cst_00034,52030124
mof_cst_00035,52030106
mof_cst_00036,52030162
mof_cst_00037,52030121
mof_cst_00038,52030159
mof_cst_00039,52030107
mof_cst_00040,52030099
mof_cst_00041,52030135
mof_cst_00042,52030098
mof_cst_00043,52030114
mof_cst_00044,52030113
mof_cst_00045,52030122
mof_cst_00046,52030100
mof_cst_00047,52030101
mof_cst_00048,52030110
mof_cst_00049,52030096
mof_cst_00050,52030126
mof_cst_00051,52030138
mof_cst_00052,52030094
mof_cst_00072,52030136
mof_cst_00073,52030128
mof_cst_00076,52030132
BSF1,52030131
BSF2,52030112
ESF1,52030097
ESF2,52030137
