Tree_ID;Date;Phase A;Phase B;Phase C;Phase D;Phase E;Phase F
BSF_1;16.03.2021;100;0;0;0;0;0
BSF_1;23.03.2021;100;0;0;0;0;0
BSF_1;30.03.2021;90;10;0;0;0;0
BSF_1;02.04.2021;80;20;0;0;0;0
BSF_1;06.04.2021;80;20;0;0;0;0
BSF_1;13.04.2021;80;20;0;0;0;0
BSF_1;16.04.2021;30;70;0;0;0;0
BSF_1;20.04.2021;10;90;0;0;0;0
BSF_1;23.04.2021;10;90;0;0;0;0
BSF_1;27.04.2021;10;80;10;0;0;0
BSF_1;30.04.2021;0;70;30;0;0;0
BSF_1;04.05.2021;0;10;70;10;10;0
BSF_1;07.05.2021;0;0;30;30;30;10
BSF_1;11.05.2021;0;0;0;0;10;90
BSF_1;14.05.2021;0;0;0;0;0;100
BSF_1;18.05.2021;0;0;0;0;0;100
BSF_1;24.05.2021;0;0;0;0;0;100
BSF_1;01.06.2021;0;0;0;0;0;100
BSF_2;16.03.2021;100;0;0;0;0;0
BSF_2;23.03.2021;100;0;0;0;0;0
BSF_2;30.03.2021;100;0;0;0;0;0
BSF_2;02.04.2021;100;0;0;0;0;0
BSF_2;06.04.2021;100;0;0;0;0;0
BSF_2;13.04.2021;100;0;0;0;0;0
BSF_2;16.04.2021;100;0;0;0;0;0
BSF_2;20.04.2021;100;0;0;0;0;0
BSF_2;23.04.2021;100;0;0;0;0;0
BSF_2;27.04.2021;100;0;0;0;0;0
BSF_2;30.04.2021;100;0;0;0;0;0
BSF_2;04.05.2021;100;0;0;0;0;0
BSF_2;07.05.2021;100;0;0;0;0;0
BSF_2;11.05.2021;100;0;0;0;0;0
BSF_2;14.05.2021;100;0;0;0;0;0
BSF_2;18.05.2021;100;0;0;0;0;0
BSF_2;24.05.2021;100;0;0;0;0;0
BSF_2;01.06.2021;100;0;0;0;0;0
mof_cst_00001;16.03.2021;100;0;0;0;0;0
mof_cst_00001;23.03.2021;100;0;0;0;0;0
mof_cst_00001;30.03.2021;100;0;0;0;0;0
mof_cst_00001;02.04.2021;70;30;0;0;0;0
mof_cst_00001;06.04.2021;70;30;0;0;0;0
mof_cst_00001;13.04.2021;30;70;0;0;0;0
mof_cst_00001;16.04.2021;30;70;0;0;0;0
mof_cst_00001;20.04.2021;10;90;0;0;0;0
mof_cst_00001;23.04.2021;0;100;0;0;0;0
mof_cst_00001;27.04.2021;0;80;20;0;0;0
mof_cst_00001;30.04.2021;0;20;30;20;20;10
mof_cst_00001;04.05.2021;0;0;30;30;20;20
mof_cst_00001;07.05.2021;0;0;10;20;30;40
mof_cst_00001;11.05.2021;0;0;0;10;10;80
mof_cst_00001;14.05.2021;0;0;0;0;10;90
mof_cst_00001;18.05.2021;0;0;0;0;0;100
mof_cst_00001;24.05.2021;0;0;0;0;0;100
mof_cst_00001;01.06.2021;0;0;0;0;0;100
mof_cst_00002;16.03.2021;100;0;0;0;0;0
mof_cst_00002;23.03.2021;100;0;0;0;0;0
mof_cst_00002;30.03.2021;90;10;0;0;0;0
mof_cst_00002;02.04.2021;90;10;0;0;0;0
mof_cst_00002;06.04.2021;90;10;0;0;0;0
mof_cst_00002;13.04.2021;90;10;0;0;0;0
mof_cst_00002;16.04.2021;80;20;0;0;0;0
mof_cst_00002;20.04.2021;50;50;0;0;0;0
mof_cst_00002;23.04.2021;50;50;0;0;0;0
mof_cst_00002;27.04.2021;50;50;0;0;0;0
mof_cst_00002;30.04.2021;30;60;10;0;0;0
mof_cst_00002;04.05.2021;30;60;10;0;0;0
mof_cst_00002;07.05.2021;30;30;30;10;0;0
mof_cst_00002;11.05.2021;0;10;10;40;10;30
mof_cst_00002;14.05.2021;0;0;10;10;20;60
mof_cst_00002;18.05.2021;0;0;10;10;10;70
mof_cst_00002;24.05.2021;0;0;0;0;0;100
mof_cst_00002;01.06.2021;0;0;0;0;0;100
mof_cst_00003;16.03.2021;100;0;0;0;0;0
mof_cst_00003;23.03.2021;100;0;0;0;0;0
mof_cst_00003;30.03.2021;70;30;0;0;0;0
mof_cst_00003;02.04.2021;20;80;0;0;0;0
mof_cst_00003;06.04.2021;20;80;0;0;0;0
mof_cst_00003;13.04.2021;20;80;0;0;0;0
mof_cst_00003;16.04.2021;20;80;0;0;0;0
mof_cst_00003;20.04.2021;20;80;0;0;0;0
mof_cst_00003;23.04.2021;10;80;10;0;0;0
mof_cst_00003;27.04.2021;0;80;20;0;0;0
mof_cst_00003;30.04.2021;0;20;60;20;0;0
mof_cst_00003;04.05.2021;0;20;60;20;0;0
mof_cst_00003;07.05.2021;0;20;40;20;10;10
mof_cst_00003;11.05.2021;0;0;0;0;10;90
mof_cst_00003;14.05.2021;0;0;0;0;0;100
mof_cst_00003;18.05.2021;0;0;0;0;0;100
mof_cst_00003;24.05.2021;0;0;0;0;0;100
mof_cst_00003;01.06.2021;0;0;0;0;0;100
mof_cst_00004;16.03.2021;100;0;0;0;0;0
mof_cst_00004;23.03.2021;100;0;0;0;0;0
mof_cst_00004;30.03.2021;100;0;0;0;0;0
mof_cst_00004;02.04.2021;100;0;0;0;0;0
mof_cst_00004;06.04.2021;100;0;0;0;0;0
